1	deep l*ng	0.03323864936828613	4
2	artificial in*e	0.0740196704864502	2
3	*tion ret*val	0.5870773792266846	8
4	mac* learning	0.79868483543396	5
5	question *nswering	0.5800931453704834	2
6	noun *ses	0.5896272659301758	6
7	*n tree*	1.1963484287261963	13
8	sp*h recognition	0.014505624771118164	5
9	data m*g	0.05936288833618164	19
10	computer v*n	0.04095721244812012	13
11	rein* learning	0.6342685222625732	4
12	natural lan*ge	0.0	5
13	auto*	0.5663585662841797	23
14	on*y	0.025908946990966797	33
15	senti* analysis	0.5924324989318848	4
16	s*p	0.05477333068847656	33
17	l*m	0.016150712966918945	42
18	nat*l language *ing	0.5221703052520752	5
19	semantic we*	0.7585189342498779	6
20	mo*c	0.0	37
21	hu* com*er interaction	0.546720027923584	4
22	e* movement cl*g	0.5936088562011719	7
23	s*ic relations	0.04688596725463867	7
24	e*t est* of word re*s in v*r space	0.7029383182525635	3
25	big *ata	0.4373965263366699	2
26	a*o v*l f*sion	0.046862125396728516	10
27	o*ject *tion	0.4686393737792969	5
28	g*dm	0.0	5
29	n*ural network	0.01562190055847168	4
30	genera* e*treme value	0.5943717956542969	0
